name,2024-06-10,2024-07-03,2024-08-26,2024-09-27,2024-10-21
qwen2.5 7b instruct,,,,,0.27
nvidia: llama 3.1 nemotron 70b instruct,,,,,0.35
inflection: inflection 3 pi,,,,,2.5
inflection: inflection 3 productivity,,,,,2.5
google: gemini 1.5 flash-8b,,,,,0.0375
liquid: lfm 40b moe,,,,,0.0
liquid: lfm 40b moe (free),,,,,0.0
eva qwen2.5 14b,,,,,0.25
magnum v2 72b,,,,,3.75
meta: llama 3.2 3b instruct (free),,,,,0.0
meta: llama 3.2 1b instruct (free),,,,,0.0
mistral nemo 12b starcannon,,,,,2.0
meta: llama 3.1 405b (base),,,,,2.0
mistral nemo 12b celeste,,,,,1.5
perplexity: llama 3.1 sonar 70b online,,,,,1.0
perplexity: llama 3.1 sonar 70b,,,,,1.0
perplexity: llama 3.1 sonar 8b online,,,,,0.2
perplexity: llama 3.1 sonar 8b,,,,,0.2
meta: llama 3.1 405b instruct,,,,,1.79
mistral: codestral mamba,,,,,0.25
mistral: mistral nemo,,,,,0.13
qwen 2 7b instruct,,,,,0.054
google: gemma 2 27b,,,,,0.27
magnum 72b,,,,,3.75
nous: hermes 2 theta 8b,,,,,0.1875
google: gemma 2 9b,,,,,0.06
mistral large,,,,,2.0
openai: gpt-3.5 turbo (older v0613),,,,,1.0
nous: hermes 2 mixtral 8x7b dpo,,,,,0.54
mistral medium,,,,,2.75
mistral small,,,,,0.2
mistral tiny,,,,,0.25
mistral: mistral 7b instruct v0.2,,,,,0.18
dolphin 2.6 mixtral 8x7b 🐬,,,,,0.5
mixtral 8x7b instruct,,,,,0.24
mixtral 8x7b instruct (nitro),,,,,0.54
mixtral 8x7b (base),,,,,0.54
mythomist 7b (free),,,,,0.0
mythomist 7b,,,,,0.375
openchat 3.5 7b (free),,,,,0.0
openchat 3.5 7b,,,,,0.055
noromaid 20b,,,,,1.5
anthropic: claude instant v1.1,,,,,0.8
anthropic: claude v2.1,,,,,8.0
anthropic: claude v2.1 (self-moderated),,,,,8.0
anthropic: claude v2,,,,,8.0
anthropic: claude v2 (self-moderated),,,,,8.0
openhermes 2.5 mistral 7b,,,,,0.17
lzlv 70b,,,,,0.35
goliath 120b,,,,,9.375
toppy m 7b (free),,,,,0.0
toppy m 7b,,,,,0.07
toppy m 7b (nitro),,,,,0.07
google: palm 2 code chat 32k,,,,,1.0
google: palm 2 chat 32k,,,,,1.0
airoboros 70b,,,,,0.5
xwin 70b,,,,,3.75
mistral: mistral 7b instruct v0.1,,,,,0.18
openai: gpt-3.5 turbo instruct,,,,,1.5
pygmalion: mythalion 13b,,,,,1.125
nous: hermes 13b,,,,,0.17
hugging face: zephyr 7b (free),,,,,0.0
mancer: weaver (alpha),,,,,1.875
phi-3.5 mini 128k instruct,,,,,0.1
openai: o1-preview (2024-09-12),,,,,15.0
phi-3 mini 128k instruct,,,,,0.1
phi-3 medium 128k instruct (free),,,,,0.0
