name,2024-05-01,2024-04-24,2024-07-03,2024-08-26,2024-09-16,2024-09-27,2024-10-21,2024-03-23,2024-02-24,2024-01-23,2023-12-22,2023-11-23,2023-09-24,2023-08-23,2023-10-24,2023-07-24,2023-06-24,2023-05-24,2023-03-23,2023-02-27,2022-11-17
gpt-3.5 turbo 0125,,,0.5,,,,,,,,,,,,,,,,,,
gpt-3.5 turbo finetuned,,,,,,,,,,,,,,,12.0,,,,,,
gpt-3.5 turbo instruct,,,1.5,,,,,,,,,,,,,,,,,,
gpt-3.5 turbo-1106,,,,,,,,,,,1.0,,,,,,,,,,
gpt-3.5-turbo,,,,,,,,,,,,,,,,,,,2.0,,
gpt-3.5-turbo (fine-tuned),3.0,,3.0,,,,,,,,,,,,,,,,,,
gpt-3.5-turbo finetuned,,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,
gpt-3.5-turbo-0125,0.5,0.5,,,,,,0.5,0.5,,,,,,,,,,,,
gpt-3.5-turbo-0301,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,,,,,,,,,,,,
gpt-3.5-turbo-0613,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,,,,,,,,,,,,
gpt-3.5-turbo-1106,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,
gpt-3.5-turbo-16k-0613,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,
gpt-3.5-turbo-instruct,1.5,1.5,,,,,,1.5,1.5,1.5,1.5,1.5,,,,,,,,,
gpt-4,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,,,,,,,,,
gpt-4 (32k context),,,,,,,,,,,,,60.0,60.0,60.0,60.0,60.0,60.0,60.0,,
gpt-4 (8k context),,,,,,,,,,,,,30.0,30.0,30.0,30.0,30.0,30.0,30.0,,
gpt-4-0125-preview,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,,,,,,,,,,
gpt-4-1106-preview,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,30.0,,,,,,,,,
gpt-4-1106-vision-preview,,,,,,,,10.0,10.0,10.0,10.0,30.0,,,,,,,,,
gpt-4-32k,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,,,,,,,,,
gpt-4-turbo,,,10.0,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,
gpt-4-turbo-2024-04-09,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,
gpt-4-vision-preview,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,
gpt-4o,,,5.0,5.0,5.0,5.0,34.167304333333334,,,,,,,,,,,,,,
gpt-4o 2024-05-13,,,5.0,,,,,,,,,,,,,,,,,,
gpt-4o mini,,,,0.15,0.15,0.15,0.15,,,,,,,,,,,,,,
gpt-4o mini 2024 07 18 finetuned,,,,0.3,0.3,0.3,0.3,,,,,,,,,,,,,,
gpt-4o-2024-05-13,,,,5.0,5.0,5.0,2.5019125,,,,,,,,,,,,,,
gpt-4o-2024-08-06,,,,2.5,2.5,2.5,1.2509565,,,,,,,,,,,,,,
gpt-4o-2024-08-06 finetuned,,,,3.75,3.75,3.75,1.884625,,,,,,,,,,,,,,
gpt-4o-2024-10-01,,,,,,,34.167304333333334,,,,,,,,,,,,,,
gpt-4o-mini-2024-07-18,,,,0.15,0.15,0.15,0.15,,,,,,,,,,,,,,
instructgpt (ada),,,,,,,,,,,,,,,,,,0.4,,,0.4
instructgpt (babbage),,,,,,,,,,,,,,,,,,0.5,,,0.5
instructgpt (curie),,,,,,,,,,,,,,,,,,2.0,,,2.0
instructgpt (davinci),,,,,,,,,,,,,,,,,,20.0,,,20.0
o1-mini,,,,,3.0,3.0,3.0,,,,,,,,,,,,,,
o1-mini 2024 09 12,,,,,,,3.0,,,,,,,,,,,,,,
o1-preview,,,,,15.0,15.0,15.0,,,,,,,,,,,,,,
o1-preview 2024 09 12,,,,,,,15.0,,,,,,,,,,,,,,
