name,2024-06-20,2024-05-28,2024-05-10,2024-08-26,2024-03-23,2024-03-04,2024-01-17,2023-12-24,2023-11-29,2023-10-17,2024-10-21,2023-08-12,2023-07-18,2023-07-14,2024-07-03,2024-09-27
qwen 1.5 chat (14b),,,,,,,,,,,0.3,,,,,
qwen 1.5 chat (32b),,,,,,,,,,,0.8,,,,,
qwen 1.5 chat (4b),,,,,,,,,,,0.1,,,,,
qwen 1.5 chat (72b),,,,,,,,,,,0.9,,,,,
qwen 1.5 chat (7b),,,,,,,,,,,0.2,,,,,
qwen 2 instruct (1.5b),,,,,,,,,,,0.1,,,,,
qwen 2 instruct (72b),,,,,,,,,,,0.9,,,,,
qwen 2 instruct (7b),,,,,,,,,,,0.2,,,,,
qwen2.5 72b instruct turbo,,,,,,,,,,,0.9,,,,,
qwen2.5 7b instruct turbo,,,,,,,,,,,0.2,,,,,
redpajama-incite (3b),,0.1,0.1,,0.1,0.1,0.1,0.1,0.1,0.1,,0.1,1.0,1.0,,
redpajama-incite (7b),,0.2,0.2,,0.2,0.2,0.2,0.2,0.2,0.2,,0.2,1.0,1.0,,
redpajama-incite chat (3b),,0.1,0.1,,0.1,0.1,0.1,0.1,0.1,0.1,,0.1,1.0,1.0,,
redpajama-incite chat (7b),,0.2,0.2,,0.2,0.2,0.2,0.2,0.2,0.2,,0.2,1.0,1.0,,
redpajama-incite instruct (3b),,0.1,0.1,,0.1,0.1,0.1,0.1,0.1,0.1,,0.1,1.0,1.0,,
redpajama-incite instruct (7b),,0.2,0.2,,0.2,0.2,0.2,0.2,0.2,0.2,,0.2,1.0,1.0,,
remm slerp l2 (13b),,,,,,,,,,,0.3,,,,,
replit-code-v1 (3b),,,,,,,,,,,,,1.0,1.0,,
snorkel mistral pairrm dpo (7b),,,,,,,,,,,0.2,,,,,
snowflake arctic instruct,,,,,,,,,,,0.1,,,,,
solar instruct v1 (11b),0.3,,,0.0,,,,,,,,,,,,
starcoderchat alpha (16b),,,,,,,,,,,,,3.0,3.0,,
test 11,,,,,,,,,,,0.1,,,,,
togethercomputer llama3 8b instruct int8,,,,,,,,,,,0.2,,,,,
toppy m (7b),,,,,,,,,,,0.2,,,,,
upstage solar instruct v1 (11b),,,,,,,,,,,0.3,,,,,
upstage solar instruct v1 (11b)-int4,,,,,,,,,,,0.3,,,,,
vicuna v1.1 (13b),,,,,,,,,,,,,3.0,3.0,,
vicuna v1.3 (13b),,,,,,,,,,,0.3,,3.0,3.0,,
vicuna v1.3 (7b),,,,,,,,,,,0.2,,1.0,1.0,,
vicuna v1.5 (13b),,,,,,,,,,,0.3,,,,,
vicuna v1.5 (7b),,,,,,,,,,,0.2,,,,,
vicuna v1.5 16k (13b),,,,,,,,,,,0.3,,,,,
vicuna-fastchat-t5 (3b),,,,,,,,,,,,,1.0,1.0,,
wizardlm v1.2 (13b),,,,,,,,,,,0.3,,,,,
wizardlm-2 (8x22b),,,,,,,,,,,0.6,,,,,
zephyr 7b,0.2,0.2,0.2,,0.2,0.2,0.2,0.2,0.2,,,,,,,
zephyr-7b-ß,,,,,,,,,,,0.2,,,,,
